HOUSEID,HHFAMINC,HHSIZE,HHVEHCNT,URBRUR,MSASIZE,TRAVDAY,TRPMILES,VEHAGE,VEHOWNED,VEHFUEL,DRIVINGOCCUPATION,LIF_CYC,LAST30_PT,LAST30_BIKE,LAST30_ESCT,LAST30_RDSHR,LAST30_TAXI,LAST30_WALK,BIKETRANSIT,DRIVER,TRPTRANS,CONDNONE,CONDTRAV,COV1_PT,COV2_PT
9000216077,11,2,3,1,5,4,26.23430702,1,1,1,-1,10,2,2,2,2,2,2,-1,1,3,-1,-1,4,-1
9000216081,7,2,1,1,5,6,13.35674332,11,1,1,-1,10,2,2,2,2,2,2,-1,1,1,2,2,2,-1
9000216081,7,2,1,1,5,6,13.80236172,11,1,1,-1,10,2,2,2,2,2,2,-1,1,1,2,2,2,-1
9000216081,7,2,1,1,5,6,8.397141081,11,1,1,-1,10,2,2,2,2,2,2,-1,1,1,2,2,2,-1
9000216085,1,6,2,2,3,4,17.03666874,7,1,1,-1,5,2,2,2,2,2,1,-1,1,2,-1,-1,2,-1
9000216085,1,6,2,2,3,4,17.0310752,7,1,1,-1,5,2,2,2,2,2,1,-1,1,2,-1,-1,2,-1
9000216135,7,1,1,1,5,3,4.060285892,2,1,1,2,9,2,2,2,2,2,1,-1,1,3,-1,-1,4,-1
9000216135,7,1,1,1,5,3,15.57924177,2,1,1,2,9,2,2,2,2,2,1,-1,1,3,-1,-1,4,-1
9000216135,7,1,1,1,5,3,5.666252331,2,1,1,2,9,2,2,2,2,2,1,-1,1,3,-1,-1,4,-1
9000216135,7,1,1,1,5,3,3.958980733,2,1,1,2,9,2,2,2,2,2,1,-1,1,3,-1,-1,4,-1
9000216166,9,2,1,1,5,6,1.6923555,10,1,1,2,2,1,2,2,1,2,1,-1,1,2,-1,-1,2,-1
9000216166,9,2,1,1,5,6,1.707271597,10,1,1,2,2,1,2,2,1,2,1,-1,1,2,-1,-1,2,-1
9000216193,8,2,2,1,4,2,7.2461156,7,1,1,2,2,2,2,2,2,2,2,-1,1,3,-1,-1,2,-1
9000216193,8,2,2,1,4,2,25.66500932,7,1,1,2,2,2,2,2,2,2,2,-1,1,3,-1,-1,2,-1
9000216193,8,2,2,1,4,2,25.66563083,7,1,1,2,2,2,2,2,2,2,2,-1,1,3,-1,-1,2,-1
9000216203,7,4,4,1,5,1,5.492852704,12,1,1,2,6,2,2,2,2,2,2,-1,1,3,-1,-1,4,-1
9000216204,11,1,1,1,4,1,97.88564326,7,1,5,-1,9,2,2,2,2,2,2,-1,1,1,-1,-1,3,3
9000216204,11,1,1,1,4,1,20.90553139,7,1,5,-1,9,2,2,2,2,2,2,-1,1,1,-1,-1,3,3
9000216204,11,1,1,1,4,1,77.97700435,7,1,5,-1,9,2,2,2,2,2,2,-1,1,1,-1,-1,3,3
9000216213,8,2,1,1,4,1,3.32007458,3,1,1,-1,10,2,1,2,1,2,1,5,1,1,-1,-1,3,2
9000216213,8,2,1,1,4,1,2.779366066,3,1,1,-1,10,2,1,2,1,2,1,5,1,1,-1,-1,3,2
9000216260,10,3,3,1,5,2,3.727159727,4,2,1,2,8,1,2,2,2,2,1,-1,1,1,-1,-1,2,-1
9000216260,10,3,3,1,5,2,2.28775637,4,2,1,2,8,1,2,2,2,2,1,-1,1,1,-1,-1,2,-1
9000216260,10,3,3,1,5,2,2.905531386,4,2,1,2,8,1,2,2,2,2,1,-1,1,1,-1,-1,2,-1
9000216260,10,3,3,1,5,2,9.489745183,4,2,1,2,8,1,2,2,2,2,1,-1,1,1,-1,-1,2,-1
9000216260,10,3,3,1,5,2,5.083903045,4,2,1,2,8,1,2,2,2,2,1,-1,1,1,-1,-1,2,-1
