HOUSEID,HHFAMINC,HHSIZE,HHVEHCNT,URBRUR,MSASIZE,TRAVDAY,TRPMILES,VEHAGE,VEHOWNED,VEHFUEL,DRIVINGOCCUPATION,LIF_CYC,LAST30_PT,LAST30_BIKE,LAST30_ESCT,LAST30_RDSHR,LAST30_TAXI,LAST30_WALK,BIKETRANSIT,DRIVER,TRPTRANS,CONDNONE,CONDTRAV,COV1_PT,COV2_PT
9000212535,1,2,1,2,1,1,5.172156619,15,1,1,-1,2,2,2,2,1,2,1,-1,1,1,-1,-1,2,-1
9000212537,9,4,6,1,3,7,9.226848975,12,1,1,1,8,2,2,2,2,2,1,-1,1,1,-1,-1,2,-1
9000212549,2,1,1,1,2,1,0.03231821,13,1,1,-1,1,2,2,2,2,2,1,-1,1,20,-1,-1,2,-1
9000212610,8,2,1,1,5,1,18.59540087,1,1,6,-1,10,2,2,2,1,1,1,-1,1,1,-1,-1,3,1
9000212610,8,2,1,1,5,1,18.57054071,1,1,6,-1,10,2,2,2,1,1,1,-1,1,1,-1,-1,3,1
9000212632,5,3,2,1,1,7,12.04039776,11,1,1,1,2,2,2,2,2,2,1,-1,1,4,-1,-1,4,-1
9000212632,5,3,2,1,1,7,11.91671846,11,1,1,1,2,2,2,2,2,2,1,-1,1,4,-1,-1,4,-1
9000212632,5,3,2,1,1,7,8.835301429,11,1,1,1,2,2,2,2,2,2,1,-1,1,4,-1,-1,4,-1
9000212632,5,3,2,1,1,7,118.2479801,11,1,1,1,2,2,2,2,2,2,1,-1,1,1,-1,-1,4,-1
9000212632,5,3,2,1,1,7,118.2703543,11,1,1,1,2,2,2,2,2,2,1,-1,1,1,-1,-1,4,-1
9000212642,11,3,4,1,5,6,3.919204475,6,1,1,2,2,2,2,2,2,2,1,-1,1,3,-1,-1,3,2
9000212642,11,3,4,1,5,6,24.04350528,6,1,1,2,2,2,2,2,2,2,1,-1,1,3,-1,-1,3,2
9000212642,11,3,4,1,5,6,33.64387819,6,1,1,2,2,2,2,2,2,2,1,-1,1,3,-1,-1,3,2
9000212642,11,3,4,1,5,6,51.51087632,6,1,1,2,2,2,2,2,2,2,1,-1,1,3,-1,-1,3,2
9000212643,11,2,2,1,5,7,3.355500311,9,1,6,2,10,1,2,2,1,2,1,-1,1,1,-1,-1,2,-1
9000212660,8,2,3,1,3,2,12.17091361,26,1,1,2,2,2,1,2,2,2,1,15,1,1,-1,-1,2,-1
9000212660,8,2,3,1,3,2,16.43878185,26,1,1,2,2,2,1,2,2,2,1,15,1,1,-1,-1,2,-1
9000212660,8,2,3,1,3,2,3.172778123,26,1,1,2,2,2,1,2,2,2,1,15,1,1,-1,-1,2,-1
